FirstName;LastName;Post;Course;Group
Блатова;Евдокия;Lecturer;2;203
Форофонтов;Федот;Dean;5;508
Харитонюк;Лев;Professor;3;304
Горохин;Аким;Academic;4;405
Черномырдин;Владимир;Student;1;100
Ломовцев;Герман;Academic;4;406
Анникова;Вера;Dean;5;508
Вастьянов;Константин;Professor;3;303
Ковалёв;Макар;Academic;4;405
Колпакова;Изольда;Professor;3;305
Распутина;Лариса;Professor;3;303
Свистовский;Алексей;Professor;3;304
Форопонов;Нестор;Student;1;100
Талызина;Альбина;Lecturer;2;201
Яхаев;Фома;Dean;5;508
Первак;Владлен;Dean;5;508
Ягемана;Изольда;Academic;4;406
Шлиппенбах;Богдан;Dean;5;508
Штыкова;Таисия;Professor;3;304
Терехова;Валерия;Academic;4;407
Колбягина;Эвелина;Lecturer;2;202
Ямилова;Татьяна;Dean;5;508
Якурин;Юлий;Dean;5;508
Карасёва;Таисия;Lecturer;2;202
Канаша;Жанна;Lecturer;2;202
Поздова;Изольда;Student;1;100
Жиглов;Ярослав;Dean;5;507
Ляпина;Евгения;Student;1;101
Кадцына;Марфа;Dean;5;507
Резяпкин;Борис;Academic;4;406
Грибоедов;Руслан;Student;1;100
Эмин;Онуфрий;Academic;4;406
Янушко;Марфа;Academic;4;406
Блатова;Яна;Dean;5;508
Кузьмин;Гаврила;Professor;3;304
Поникарова;Вера;Academic;4;406
Саракаев;Виктор;Student;1;100
Фукин;Андрей;Dean;5;507
Зыльков;Платон;Professor;3;304
Курганова;Ольга;Academic;4;405
Пустохина;Лада;Student;1;101
Выгузов;Сергей;Professor;3;303
Ячевский;Ираклий;Professor;3;303
Уттеркло;Виссарион;Professor;3;305
Беляев;Всеволод;Academic;4;406
Витковский;Артемий;Student;1;100
Казаньков;Никанор;Student;1;100
Алленов;Мирон;Professor;3;304
Яблонев;Андриян;Dean;5;507
Смагина;Роза;Student;1;100
Автухова;Марфа;Student;1;100
Сенькин;Борислав;Student;1;100
Семенова;Полина;Academic;4;406
Сагадиева;Клара;Dean;5;508
Блинова;Лилия;Lecturer;2;201
Киселёв;Измаил;Professor;3;303
Грызлов;Андрон;Dean;5;508
Малюгина;Влада;Lecturer;2;201
Набатников;Олег;Lecturer;2;202
Караулин;Святослав;Student;1;100
Сазонтова;Инга;Dean;5;507
Эристов;Игорь;Academic;4;407
Глухов;Алексей;Professor;3;304
Сиянов;Никифор;Dean;5;508
Бессонов;Семен;Professor;3;304
Хохорина;Ева;Academic;4;406
Яшунин;Арсений;Dean;5;507
Кузьминых;Иван;Student;1;101
Шашлова;Наталия;Academic;4;406
Шимякин;Давид;Student;1;101
Минаева;Элеонора;Dean;5;507
Юганцева;Маргарита;Dean;5;507
Щитта;Марина;Professor;3;304
Шурьев;Эрнест;Dean;5;508
Ромазан;Никита;Academic;4;405
Апакидзе;Данила;Dean;5;507
Карамзина;Арина;Professor;3;304
Хесман;Валентин;Lecturer;2;203
Набадчиков;Родион;Professor;3;304
Зощенко;Максимильян;Lecturer;2;202
Котова;Римма;Dean;5;508
Килиса;Инга;Lecturer;2;203
Ильюшин;Михаил;Lecturer;2;203
Бабанов;Савелий;Academic;4;407
Махов;Виссарион;Academic;4;405
Бухарова;Таисия;Dean;5;508
Янкова;Людмила;Dean;5;508
Калмыков;Михаил;Dean;5;507
Сусляков;Ростислав;Academic;4;406
Попов;Ян;Student;1;100
Краснова;Ева;Academic;4;406
Колонтаев;Евсей;Dean;5;507
Овчинников;Сократ;Professor;3;304
Есипова;Юлия;Professor;3;304
Помелова;Рада;Dean;5;507
Володина;Алла;Professor;3;303
Лунин;Тихон;Dean;5;507
Рейслер;Чеслав;Professor;3;304
Марина;Ефросиния;Student;1;100
Грибанов;Лавр;Student;1;100
Катериночкин;Матвей;Lecturer;2;201
Шумилов;Харитон;Dean;5;507
Хабалова;Диана;Academic;4;406
Букирь;Владимир;Academic;4;405
Драчёва;Нина;Lecturer;2;202
Устимовича;Инна;Lecturer;2;201
Соболева;Марианна;Academic;4;405
Барков;Прокофий;Dean;5;507
Суснин;Арсений;Lecturer;2;202
Анников;Валерьян;Lecturer;2;203
Басманова;Доминика;Dean;5;508
Трактирников;Нестор;Academic;4;405
Кощеев;Иван;Academic;4;406
Щеголяева;Маргарита;Student;1;100
Талалихина;Дарья;Student;1;100
Ярский;Григорий;Professor;3;304
Ябловский;Борис;Professor;3;304
Аюшиев;Феофан;Academic;4;406
Замятин;Андрон;Lecturer;2;202
Агеева;Екатерина;Professor;3;304
Крючков;Ярослав;Academic;4;406
Захарова;Христина;Dean;5;508
Куратник;Юлий;Professor;3;304
Буковски;Бронислав;Academic;4;406
Пшеничникова;Елена;Professor;3;303
Кривкова;Виктория;Dean;5;508
Грибанов;Дмитрий;Lecturer;2;202
Шевелёка;Любава;Dean;5;508
Арцишевский;Владислав;Student;1;100
Кизатов;Борислав;Lecturer;2;201
Хохлов;Всеслав;Dean;5;508
Ишеева;Таисия;Student;1;100
Перова;Владлена;Lecturer;2;202
Черныха;Анастасия;Professor;3;304
Марьина;Роза;Student;1;100
Унтилова;Милена;Student;1;101
Аниканова;Ульяна;Professor;3;305
Житков;Сергей;Academic;4;406
Макарова;Эмилия;Professor;3;304
Иканова;Любава;Professor;3;303
Балашова;Александра;Lecturer;2;202
Курчатов;Мартын;Student;1;101
Сериков;Авдей;Professor;3;304
Челомцев;Виктор;Lecturer;2;203
Ясюлевича;Полина;Student;1;101
Бухарова;Любовь;Student;1;101
Фламина;Василиса;Lecturer;2;201
Челомей;Казимир;Professor;3;304
Колосов;Прокофий;Lecturer;2;203
Щавлева;Евгения;Lecturer;2;203
Казанькова;Ариадна;Dean;5;508
Глинка;Розалия;Student;1;101
Яворов;Бронислав;Lecturer;2;201
Эскин;Тимур;Professor;3;304
Кадников;Евграф;Lecturer;2;202
Игошева;Виктория;Lecturer;2;201
Цветкова;Нона;Lecturer;2;203
Леванов;Георгий;Student;1;100
Живенков;Борислав;Lecturer;2;201
Яна;Валентина;Lecturer;2;203
Мартюшов;Мир;Dean;5;508
Чемериса;Лиана;Academic;4;405
Фламина;Лидия;Academic;4;406
Абросимов;Тимур;Student;1;101
Толмачёв;Потап;Professor;3;303
Михайличенко;Эмилия;Dean;5;507
Звягин;Михей;Lecturer;2;203
Шаляпин;Михаил;Student;1;101
Степанова;Полина;Dean;5;508
Кузьмова;Юнона;Dean;5;508
Зыкова;Рада;Dean;5;507
Портнов;Нестор;Academic;4;406
Чернышёва;Полина;Lecturer;2;202
Корзоватых;Бронислав;Dean;5;507
Нямин;Трофим;Lecturer;2;202
Рытов;Геннадий;Professor;3;304
Думановский;Леонид;Professor;3;304
Михальченков;Клавдий;Student;1;100
Сиянгулова;Лидия;Professor;3;305
Канадина;Дина;Lecturer;2;202
Ягупова;Христина;Academic;4;406
Андрюшина;Владислава;Dean;5;507
Сигаев;Борислав;Academic;4;405
Семерикова;Марина;Academic;4;406
Минкин;Эммануил;Lecturer;2;202
Игошина;Любовь;Dean;5;507
Кузуб;Павел;Dean;5;507
Трофимов;Дементий;Academic;4;406
Щуров;Филимон;Lecturer;2;202
Тепляков;Назар;Dean;5;507
Колобова;Валентина;Academic;4;406
Ельцина;Эвелина;Professor;3;304
Язин;Гаврила;Professor;3;304
Табернакулова;Розалия;Student;1;101
Яненко;Платон;Professor;3;304
Радостин;Данила;Academic;4;405
Пондякова;Наталья;Lecturer;2;203
Кораков;Лука;Lecturer;2;203
Исламов;Пимен;Dean;5;508
Трофимова;Татьяна;Lecturer;2;202
Фурманова;Лиана;Academic;4;407
Жвикова;Доминика;Student;1;100
Старостин;Давид;Professor;3;304
Шибалова;Арина;Professor;3;303
Глебова;Стела;Professor;3;304
Лимонов;Карл;Lecturer;2;201
Родиков;Изяслав;Dean;5;508
Коровина;Оксана;Lecturer;2;203
Пронин;Никон;Lecturer;2;202
Ялчевский;Семен;Academic;4;406
Капылюшный;Иван;Academic;4;406
Куклов;Пахом;Lecturer;2;202
Дубин;Иосиф;Professor;3;304
Увакин;Георгий;Dean;5;508
Жаров;Харитон;Academic;4;405
Вицин;Лавр;Student;1;100
Парамонова;Зоя;Student;1;100
Кирилловский;Богдан;Student;1;100
Савин;Изяслав;Dean;5;507
Лещёва;Зоя;Professor;3;305
Чичеров;Клавдий;Student;1;100
Помелова;Кира;Professor;3;305
Жиганова;Христина;Dean;5;508
Бильбасова;Владлена;Student;1;101
Чуличкова;Римма;Student;1;101
Витвинин;Фома;Lecturer;2;203
Золотарёв;Аркадий;Lecturer;2;202
Кондраков;Всеволод;Student;1;100
Блаженова;Нина;Lecturer;2;202
Циммерман;Мирон;Professor;3;305
Гуськова;Ефросинья;Student;1;101
Эпингера;Зоя;Student;1;101
Григолюка;Зоя;Student;1;101
Корявова;Альбина;Lecturer;2;202
Ягупова;Ираида;Professor;3;304
Максимов;Константин;Academic;4;405
Авилова;Регина;Lecturer;2;202
Каде;Матвей;Student;1;101
Сиян;Иван;Lecturer;2;202
Корнева;Людмила;Student;1;100
Двойнев;Афанасий;Dean;5;508
Апакидзе;Евгений;Professor;3;303
Кулика;Владлена;Professor;3;304
Борисюка;Елена;Professor;3;304
Яшина;Любовь;Student;1;101
Гриневец;Харитон;Professor;3;304
Круглова;Елизавета;Student;1;100
Терехов;Владислав;Academic;4;405
Бугаев;Лука;Professor;3;304
Шувалова;Каролина;Professor;3;304
Ветров;Фока;Academic;4;405
Бережной;Венедикт;Lecturer;2;203
Эверский;Ян;Professor;3;304
Убейсобакина;Марина;Lecturer;2;203
Антонов;Виссарион;Lecturer;2;202
Караваев;Прохор;Lecturer;2;201
Зарубин;Елисей;Student;1;101
Катериночкин;Захар;Lecturer;2;203
Янчин;Ян;Lecturer;2;202
Янютина;Ника;Student;1;101
Кожухова;Людмила;Dean;5;508
Туржанский;Капитон;Dean;5;507
Мичурин;Руслан;Student;1;101
Владимиров;Владимир;Academic;4;406
Щербинина;Елена;Professor;3;305
Янишина;Наталия;Professor;3;305
Серебряков;Валерий;Student;1;101
Щерба;Эмилия;Lecturer;2;201
Погодин;Пахом;Lecturer;2;203
Бойкова;Доминика;Dean;5;508
Бабыкин;Архип;Academic;4;406
Черниенко;Иннокентий;Dean;5;507
Машлыкин;Фадей;Dean;5;507
Кондюрина;Арина;Dean;5;507
Жеглов;Лев;Academic;4;406
Райта;Каролина;Professor;3;305
Горшкова;Аза;Student;1;100
Разина;Роза;Lecturer;2;203
Тетерин;Артур;Student;1;100
Осинцев;Юрий;Academic;4;406
Кольцов;Лука;Lecturer;2;202
Кружкова;Владлена;Academic;4;405
Старцева;Инна;Professor;3;305
Янышева;Евгения;Dean;5;507
Шалимов;Борис;Dean;5;508
Солодский;Петр;Dean;5;507
Львова;Светлана;Academic;4;405
Капралов;Агап;Academic;4;406
Ящин;Родион;Student;1;100
Гусева;Регина;Lecturer;2;202
Ярлыков;Чеслав;Professor;3;304
Ивкин;Данила;Dean;5;508
Игошев;Евгений;Dean;5;508
Квакина;Дарья;Student;1;101
Ахтемиров;Лука;Student;1;100
Гавшин;Лукьян;Student;1;100
Гудков;Эдуард;Lecturer;2;202
Ёлшина;Вера;Dean;5;507
Крутелева;Яна;Dean;5;508
Перешивкин;Валерьян;Professor;3;304
Карманова;Василиса;Lecturer;2;203
Борков;Георгий;Dean;5;507
Полешко;Артур;Lecturer;2;201
Жолдин;Иван;Professor;3;304
Старцев;Артур;Academic;4;406
Папанова;Каролина;Academic;4;406
Ельцин;Ярослав;Professor;3;304
Малыхин;Эрнест;Academic;4;406
Южанина;Светлана;Academic;4;406
Цуцков;Игорь;Academic;4;405
Каналин;Семён;Student;1;101
Козариса;Всеслава;Academic;4;407
Койначёнок;Валентин;Lecturer;2;202
Кокоткин;Платон;Professor;3;305
Кашарин;Евсей;Dean;5;507
Славаков;Сократ;Lecturer;2;203
Ловзанский;Максимильян;Lecturer;2;202
Бикулова;Мария;Lecturer;2;202
Сочеванова;Оксана;Academic;4;406
Сюкосева;Татьяна;Academic;4;406
Просвирнин;Роман;Dean;5;508
Купревича;Рената;Lecturer;2;203
Мурзакова;Лариса;Student;1;101
Шапиро;Геннадий;Student;1;100
Дубков;Тимофей;Professor;3;304
Портнов;Ефрем;Academic;4;406
Кочкорбаев;Модест;Dean;5;508
Кудяшов;Пимен;Academic;4;406
Кумиров;Алексей;Academic;4;406
Кабальнова;Юлия;Professor;3;305
Юсупов;Михаил;Lecturer;2;202
Онипченко;Тарас;Lecturer;2;202
Блокова;Владлена;Professor;3;304
Толстоброва;Полина;Professor;3;304
Танков;Поликарп;Lecturer;2;202
Яклашкин;Ефрем;Professor;3;304
Толкачёв;Елисей;Professor;3;303
Абушаева;Татьяна;Student;1;100
Беломестнова;Агафья;Student;1;100
Голодяев;Денис;Student;1;101
Милюкова;Василиса;Lecturer;2;202
Кораблин;Порфирий;Dean;5;508
Сиваков;Иннокентий;Student;1;100
Борхеса;Марина;Professor;3;303
Кярбера;Кира;Student;1;101
Карюгин;Петр;Academic;4;406
Яненко;Тихон;Academic;4;406
Качаева;Мария;Lecturer;2;202
Эсце;Кристина;Lecturer;2;202
Карандасов;Венедикт;Academic;4;406
Фукин;Руслан;Dean;5;507
Стегнова;Зинаида;Student;1;100
Шуляк;Викентий;Student;1;100
Казанькова;Александра;Student;1;101
Михалицын;Мартын;Professor;3;304
Шарапов;Эдуард;Student;1;100
Бореева;Алина;Academic;4;405
Нюхтилин;Демьян;Student;1;101
Пережогина;Жанна;Student;1;100
Осин;Всеволод;Dean;5;508
Москвитин;Виталий;Dean;5;507
Чикунова;Евгения;Dean;5;507
Абумайлов;Артур;Dean;5;508
Смирнитский;Прокофий;Student;1;101
Низовцев;Адриан;Lecturer;2;203
Ягуткина;Розалия;Dean;5;508
Игумнов;Эдуард;Lecturer;2;202
Астрединов;Карл;Academic;4;406
Сунгатулина;Христина;Lecturer;2;202
Чичерина;Ефросинья;Lecturer;2;202
Воробьёв;Тихон;Dean;5;508
Губанова;Дарья;Lecturer;2;202
Яхимович;Бронислав;Lecturer;2;201
Мещеряков;Богдан;Professor;3;304
Полторака;Тамара;Professor;3;304
Кочкорбаева;﻿Агата;Student;1;100
Панфёрова;Владислава;Lecturer;2;202
Юневича;Ефросиния;Academic;4;406
Компанец;Венедикт;Dean;5;508
Лашкина;Каролина;Dean;5;507
Казаринова;Эвелина;Student;1;100
Деменока;Полина;Academic;4;405
Лазуткин;Юлиан;Lecturer;2;203
Шаронова;Виктория;Student;1;100
Яговенко;Арина;Academic;4;406
Филенкова;Изольда;Lecturer;2;202
Дудко;Дарья;Student;1;101
Цаплина;Ариадна;Lecturer;2;202
Каржаубаев;Дмитрий;Dean;5;508
Канунникова;Полина;Lecturer;2;202
Нилова;Агния;Dean;5;507
Бабин;Валерьян;Lecturer;2;202
Фарест;Андрей;Dean;5;508
Оленев;Денис;Student;1;101
Козлов;Аристарх;Lecturer;2;203
Качурина;Евдокия;Professor;3;303
Муравьева;Жанна;Student;1;100
Цуринов;Аким;Dean;5;508
Помелов;Бронислав;Student;1;100
Черномырдин;Олег;Lecturer;2;202
Васильев;Евгений;Lecturer;2;203
Булкин;Павел;Dean;5;508
Елагина;Аза;Student;1;100
Ястребова;Владислава;Student;1;100
Чадов;Карл;Academic;4;407
Эмских;Евсей;Professor;3;305
Казакевича;Милена;Dean;5;507
Кошков;Иосиф;Professor;3;304
Тюрина;Марина;Academic;4;405
Ожогина;Виктория;Professor;3;304
Люба;Евстигней;Academic;4;406
